WORDS,NEW_LABELS,"activity, animal, location, weather, human"
lorikeet,animal,http://wordnet-rdf.princeton.edu/wn30/01820546-n
coucal,animal,http://wordnet-rdf.princeton.edu/wn30/01824575-n
bee eater,animal,http://wordnet-rdf.princeton.edu/wn30/01828970-n
hornbill,animal,http://wordnet-rdf.princeton.edu/wn30/01829413-n
hummingbird,animal,http://wordnet-rdf.princeton.edu/wn30/01833805-n
jacamar,animal,http://wordnet-rdf.princeton.edu/wn30/01843065-n
toucan,animal,http://wordnet-rdf.princeton.edu/wn30/01843383-n
duck,animal,http://wordnet-rdf.princeton.edu/wn30/01847000-n
red-breasted merganser,animal,http://wordnet-rdf.princeton.edu/wn30/01855032-n
goose,animal,http://wordnet-rdf.princeton.edu/wn30/01855672-n
black swan,animal,http://wordnet-rdf.princeton.edu/wn30/01860187-n
tusker,animal,http://wordnet-rdf.princeton.edu/wn30/01871265-n
echidna,animal,http://wordnet-rdf.princeton.edu/wn30/01872401-n
platypus,animal,http://wordnet-rdf.princeton.edu/wn30/01873310-n
wallaby,animal,http://wordnet-rdf.princeton.edu/wn30/01877812-n
koala,animal,http://wordnet-rdf.princeton.edu/wn30/01882714-n
wombat,animal,http://wordnet-rdf.princeton.edu/wn30/01883070-n
jellyfish,animal,http://wordnet-rdf.princeton.edu/wn30/01910747-n
sea anemone,animal,http://wordnet-rdf.princeton.edu/wn30/01914609-n
brain coral,animal,http://wordnet-rdf.princeton.edu/wn30/01917289-n
flatworm,animal,http://wordnet-rdf.princeton.edu/wn30/01924916-n
nematode,animal,http://wordnet-rdf.princeton.edu/wn30/01930112-n
conch,animal,http://wordnet-rdf.princeton.edu/wn30/01943899-n
snail,animal,http://wordnet-rdf.princeton.edu/wn30/01944390-n
slug,animal,http://wordnet-rdf.princeton.edu/wn30/01945685-n
sea slug,animal,http://wordnet-rdf.princeton.edu/wn30/01950731-n
chiton,animal,http://wordnet-rdf.princeton.edu/wn30/01955084-n
chambered nautilus,animal,http://wordnet-rdf.princeton.edu/wn30/01968897-n
Dungeness crab,animal,http://wordnet-rdf.princeton.edu/wn30/01978287-n
rock crab,animal,http://wordnet-rdf.princeton.edu/wn30/01978455-n
fiddler crab,animal,http://wordnet-rdf.princeton.edu/wn30/01980166-n
red king crab,animal,http://wordnet-rdf.princeton.edu/wn30/01981276-n
American lobster,animal,http://wordnet-rdf.princeton.edu/wn30/01983481-n
spiny lobster,animal,http://wordnet-rdf.princeton.edu/wn30/01984695-n
crayfish,animal,http://wordnet-rdf.princeton.edu/wn30/01985128-n
hermit crab,animal,http://wordnet-rdf.princeton.edu/wn30/01986214-n
isopod,animal,http://wordnet-rdf.princeton.edu/wn30/01990800-n
white stork,animal,http://wordnet-rdf.princeton.edu/wn30/02002556-n
black stork,animal,http://wordnet-rdf.princeton.edu/wn30/02002724-n
spoonbill,animal,http://wordnet-rdf.princeton.edu/wn30/02006656-n
flamingo,animal,http://wordnet-rdf.princeton.edu/wn30/02007558-n
little blue heron,animal,http://wordnet-rdf.princeton.edu/wn30/02009229-n
great egret,animal,http://wordnet-rdf.princeton.edu/wn30/02009912-n
bittern,animal,http://wordnet-rdf.princeton.edu/wn30/02011460-n
crane,animal,http://wordnet-rdf.princeton.edu/wn30/03126707-n
limpkin,animal,http://wordnet-rdf.princeton.edu/wn30/02013706-n
common gallinule,animal,http://wordnet-rdf.princeton.edu/wn30/02017213-n
American coot,animal,http://wordnet-rdf.princeton.edu/wn30/02018207-n
bustard,animal,http://wordnet-rdf.princeton.edu/wn30/02018795-n
ruddy turnstone,animal,http://wordnet-rdf.princeton.edu/wn30/02025239-n
dunlin,animal,http://wordnet-rdf.princeton.edu/wn30/02027492-n
common redshank,animal,http://wordnet-rdf.princeton.edu/wn30/02028035-n
dowitcher,animal,http://wordnet-rdf.princeton.edu/wn30/02033041-n
oystercatcher,animal,http://wordnet-rdf.princeton.edu/wn30/02037110-n
pelican,animal,http://wordnet-rdf.princeton.edu/wn30/02051845-n
king penguin,animal,http://wordnet-rdf.princeton.edu/wn30/02056570-n
albatross,animal,http://wordnet-rdf.princeton.edu/wn30/02058221-n
grey whale,animal,http://wordnet-rdf.princeton.edu/wn30/02066245-n
killer whale,animal,http://wordnet-rdf.princeton.edu/wn30/02071294-n
dugong,animal,http://wordnet-rdf.princeton.edu/wn30/02074367-n
sea lion,animal,http://wordnet-rdf.princeton.edu/wn30/02077923-n
Chihuahua,animal,http://wordnet-rdf.princeton.edu/wn30/02085620-n
Japanese Chin,animal,http://wordnet-rdf.princeton.edu/wn30/02085782-n
Maltese,animal,http://wordnet-rdf.princeton.edu/wn30/02085936-n
Pekingese,animal,http://wordnet-rdf.princeton.edu/wn30/02086079-n
Shih Tzu,animal,http://wordnet-rdf.princeton.edu/wn30/02086240-n
King Charles Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02086646-n
Papillon,animal,http://wordnet-rdf.princeton.edu/wn30/02086910-n
toy terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02087046-n
Rhodesian Ridgeback,animal,http://wordnet-rdf.princeton.edu/wn30/02087394-n
Afghan Hound,animal,http://wordnet-rdf.princeton.edu/wn30/02088094-n
Basset Hound,animal,http://wordnet-rdf.princeton.edu/wn30/02088238-n
Beagle,animal,http://wordnet-rdf.princeton.edu/wn30/02088364-n
Bloodhound,animal,http://wordnet-rdf.princeton.edu/wn30/02088466-n
Bluetick Coonhound,animal,http://wordnet-rdf.princeton.edu/wn30/02088632-n
Black and Tan Coonhound,animal,http://wordnet-rdf.princeton.edu/wn30/02089078-n
Treeing Walker Coonhound,animal,http://wordnet-rdf.princeton.edu/wn30/02089867-n
English foxhound,animal,http://wordnet-rdf.princeton.edu/wn30/02089973-n
Redbone Coonhound,animal,http://wordnet-rdf.princeton.edu/wn30/02090379-n
borzoi,animal,http://wordnet-rdf.princeton.edu/wn30/02090622-n
Irish Wolfhound,animal,http://wordnet-rdf.princeton.edu/wn30/02090721-n
Italian Greyhound,animal,http://wordnet-rdf.princeton.edu/wn30/02091032-n
Whippet,animal,http://wordnet-rdf.princeton.edu/wn30/02091134-n
Ibizan Hound,animal,http://wordnet-rdf.princeton.edu/wn30/02091244-n
Norwegian Elkhound,animal,http://wordnet-rdf.princeton.edu/wn30/02091467-n
Otterhound,animal,http://wordnet-rdf.princeton.edu/wn30/02091635-n
Saluki,animal,http://wordnet-rdf.princeton.edu/wn30/02091831-n
Scottish Deerhound,animal,http://wordnet-rdf.princeton.edu/wn30/02092002-n
Weimaraner,animal,http://wordnet-rdf.princeton.edu/wn30/02092339-n
Staffordshire Bull Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093256-n
American Staffordshire Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093428-n
Bedlington Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093647-n
Border Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093754-n
Kerry Blue Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093859-n
Irish Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02093991-n
Norfolk Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02094114-n
Norwich Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02094258-n
Yorkshire Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02094433-n
Wire Fox Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02095314-n
Lakeland Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02095570-n
Sealyham Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02095889-n
Airedale Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02096051-n
Cairn Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02096177-n
Australian Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02096294-n
Dandie Dinmont Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02096437-n
Boston Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02096585-n
Miniature Schnauzer,animal,http://wordnet-rdf.princeton.edu/wn30/02097047-n
Giant Schnauzer,animal,http://wordnet-rdf.princeton.edu/wn30/02097130-n
Standard Schnauzer,animal,http://wordnet-rdf.princeton.edu/wn30/02097209-n
Scottish Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02097298-n
Tibetan Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02097474-n
Australian Silky Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02097658-n
Soft-coated Wheaten Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02098105-n
West Highland White Terrier,animal,http://wordnet-rdf.princeton.edu/wn30/02098286-n
Lhasa Apso,animal,http://wordnet-rdf.princeton.edu/wn30/02098413-n
Flat-Coated Retriever,animal,http://wordnet-rdf.princeton.edu/wn30/02099267-n
Curly-coated Retriever,animal,http://wordnet-rdf.princeton.edu/wn30/02099429-n
Golden Retriever,animal,http://wordnet-rdf.princeton.edu/wn30/02099601-n
Labrador Retriever,animal,http://wordnet-rdf.princeton.edu/wn30/02099712-n
Chesapeake Bay Retriever,animal,http://wordnet-rdf.princeton.edu/wn30/02099849-n
German Shorthaired Pointer,animal,http://wordnet-rdf.princeton.edu/wn30/02100236-n
Vizsla,animal,http://wordnet-rdf.princeton.edu/wn30/02100583-n
English Setter,animal,http://wordnet-rdf.princeton.edu/wn30/02100735-n
Irish Setter,animal,http://wordnet-rdf.princeton.edu/wn30/02100877-n
Gordon Setter,animal,http://wordnet-rdf.princeton.edu/wn30/02101006-n
Brittany,animal,http://wordnet-rdf.princeton.edu/wn30/02101388-n
Clumber Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02101556-n
English Springer Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02102040-n
Welsh Springer Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02102177-n
Cocker Spaniels,animal,http://wordnet-rdf.princeton.edu/wn30/02102318-n
Sussex Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02102480-n
Irish Water Spaniel,animal,http://wordnet-rdf.princeton.edu/wn30/02102973-n
Kuvasz,animal,http://wordnet-rdf.princeton.edu/wn30/02104029-n
Schipperke,animal,http://wordnet-rdf.princeton.edu/wn30/02104365-n
Groenendael,animal,http://wordnet-rdf.princeton.edu/wn30/02105056-n
Malinois,animal,http://wordnet-rdf.princeton.edu/wn30/02105162-n
Briard,animal,http://wordnet-rdf.princeton.edu/wn30/02105251-n
Australian Kelpie,animal,http://wordnet-rdf.princeton.edu/wn30/02105412-n
Komondor,animal,http://wordnet-rdf.princeton.edu/wn30/02105505-n
Old English Sheepdog,animal,http://wordnet-rdf.princeton.edu/wn30/02105641-n
Shetland Sheepdog,animal,http://wordnet-rdf.princeton.edu/wn30/02105855-n
collie,animal,http://wordnet-rdf.princeton.edu/wn30/02106030-n
Border Collie,animal,http://wordnet-rdf.princeton.edu/wn30/02106166-n
Bouvier des Flandres,animal,http://wordnet-rdf.princeton.edu/wn30/02106382-n
Rottweiler,animal,http://wordnet-rdf.princeton.edu/wn30/02106550-n
German Shepherd Dog,animal,http://wordnet-rdf.princeton.edu/wn30/02106662-n
Dobermann,animal,http://wordnet-rdf.princeton.edu/wn30/02107142-n
Miniature Pinscher,animal,http://wordnet-rdf.princeton.edu/wn30/02107312-n
Greater Swiss Mountain Dog,animal,http://wordnet-rdf.princeton.edu/wn30/02107574-n
Bernese Mountain Dog,animal,http://wordnet-rdf.princeton.edu/wn30/02107683-n
Appenzeller Sennenhund,animal,http://wordnet-rdf.princeton.edu/wn30/02107908-n
Entlebucher Sennenhund,animal,http://wordnet-rdf.princeton.edu/wn30/02108000-n
Boxer,animal,http://wordnet-rdf.princeton.edu/wn30/02108089-n
Bullmastiff,animal,http://wordnet-rdf.princeton.edu/wn30/02108422-n
Tibetan Mastiff,animal,http://wordnet-rdf.princeton.edu/wn30/02108551-n
French Bulldog,animal,http://wordnet-rdf.princeton.edu/wn30/02108915-n
Great Dane,animal,http://wordnet-rdf.princeton.edu/wn30/02109047-n
St. Bernard,animal,http://wordnet-rdf.princeton.edu/wn30/02109525-n
husky,animal,http://wordnet-rdf.princeton.edu/wn30/02109961-n
Alaskan Malamute,animal,http://wordnet-rdf.princeton.edu/wn30/02110063-n
Siberian Husky,animal,http://wordnet-rdf.princeton.edu/wn30/02110185-n
Dalmatian,animal,http://wordnet-rdf.princeton.edu/wn30/02110341-n
Affenpinscher,animal,http://wordnet-rdf.princeton.edu/wn30/02110627-n
Basenji,animal,http://wordnet-rdf.princeton.edu/wn30/02110806-n
pug,animal,http://wordnet-rdf.princeton.edu/wn30/02110958-n
Leonberger,animal,http://wordnet-rdf.princeton.edu/wn30/02111129-n
Newfoundland,animal,http://wordnet-rdf.princeton.edu/wn30/02111277-n
Pyrenean Mountain Dog,animal,http://wordnet-rdf.princeton.edu/wn30/02111500-n
Samoyed,animal,http://wordnet-rdf.princeton.edu/wn30/02111889-n
Pomeranian,animal,http://wordnet-rdf.princeton.edu/wn30/02112018-n
Chow Chow,animal,http://wordnet-rdf.princeton.edu/wn30/02112137-n
Keeshond,animal,http://wordnet-rdf.princeton.edu/wn30/02112350-n
Griffon Bruxellois,animal,http://wordnet-rdf.princeton.edu/wn30/02112706-n
Pembroke Welsh Corgi,animal,http://wordnet-rdf.princeton.edu/wn30/02113023-n
Cardigan Welsh Corgi,animal,http://wordnet-rdf.princeton.edu/wn30/02113186-n
Toy Poodle,animal,http://wordnet-rdf.princeton.edu/wn30/02113624-n
Miniature Poodle,animal,http://wordnet-rdf.princeton.edu/wn30/02113712-n
Standard Poodle,animal,http://wordnet-rdf.princeton.edu/wn30/02113799-n
Mexican hairless dog,animal,http://wordnet-rdf.princeton.edu/wn30/02113978-n
grey wolf,animal,http://wordnet-rdf.princeton.edu/wn30/02114367-n
Alaskan tundra wolf,animal,http://wordnet-rdf.princeton.edu/wn30/02114548-n
red wolf,animal,http://wordnet-rdf.princeton.edu/wn30/02114712-n
coyote,animal,http://wordnet-rdf.princeton.edu/wn30/02114855-n
dingo,animal,http://wordnet-rdf.princeton.edu/wn30/02115641-n
dhole,animal,http://wordnet-rdf.princeton.edu/wn30/02115913-n
African wild dog,animal,http://wordnet-rdf.princeton.edu/wn30/02116738-n
hyena,animal,http://wordnet-rdf.princeton.edu/wn30/02117135-n
red fox,animal,http://wordnet-rdf.princeton.edu/wn30/02119022-n
kit fox,animal,http://wordnet-rdf.princeton.edu/wn30/02119789-n
Arctic fox,animal,http://wordnet-rdf.princeton.edu/wn30/02120079-n
grey fox,animal,http://wordnet-rdf.princeton.edu/wn30/02120505-n
tabby cat,animal,http://wordnet-rdf.princeton.edu/wn30/02123045-n
tiger cat,animal,http://wordnet-rdf.princeton.edu/wn30/02123159-n
Persian cat,animal,http://wordnet-rdf.princeton.edu/wn30/02123394-n
Siamese cat,animal,http://wordnet-rdf.princeton.edu/wn30/02123597-n
Egyptian Mau,animal,http://wordnet-rdf.princeton.edu/wn30/02124075-n
cougar,animal,http://wordnet-rdf.princeton.edu/wn30/02125311-n
lynx,animal,http://wordnet-rdf.princeton.edu/wn30/02127052-n
leopard,animal,http://wordnet-rdf.princeton.edu/wn30/02128385-n
snow leopard,animal,http://wordnet-rdf.princeton.edu/wn30/02128757-n
jaguar,animal,http://wordnet-rdf.princeton.edu/wn30/02128925-n
lion,animal,http://wordnet-rdf.princeton.edu/wn30/02129165-n
tiger,animal,http://wordnet-rdf.princeton.edu/wn30/02129604-n
cheetah,animal,http://wordnet-rdf.princeton.edu/wn30/02130308-n
brown bear,animal,http://wordnet-rdf.princeton.edu/wn30/02132136-n
American black bear,animal,http://wordnet-rdf.princeton.edu/wn30/02133161-n
polar bear,animal,http://wordnet-rdf.princeton.edu/wn30/02134084-n
sloth bear,animal,http://wordnet-rdf.princeton.edu/wn30/02134418-n
mongoose,animal,http://wordnet-rdf.princeton.edu/wn30/02137549-n
meerkat,animal,http://wordnet-rdf.princeton.edu/wn30/02138441-n
tiger beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02165105-n
ladybug,animal,http://wordnet-rdf.princeton.edu/wn30/02165456-n
ground beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02167151-n
longhorn beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02168699-n
leaf beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02169497-n
dung beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02172182-n
rhinoceros beetle,animal,http://wordnet-rdf.princeton.edu/wn30/02174001-n
weevil,animal,http://wordnet-rdf.princeton.edu/wn30/02177972-n
fly,animal,http://wordnet-rdf.princeton.edu/wn30/02190166-n
bee,animal,http://wordnet-rdf.princeton.edu/wn30/02206856-n
ant,animal,http://wordnet-rdf.princeton.edu/wn30/02219486-n
grasshopper,animal,http://wordnet-rdf.princeton.edu/wn30/02226429-n
cricket,animal,http://wordnet-rdf.princeton.edu/wn30/02229544-n
stick insect,animal,http://wordnet-rdf.princeton.edu/wn30/02231487-n
cockroach,animal,http://wordnet-rdf.princeton.edu/wn30/02233338-n
mantis,animal,http://wordnet-rdf.princeton.edu/wn30/02236044-n
cicada,animal,http://wordnet-rdf.princeton.edu/wn30/02256656-n
leafhopper,animal,http://wordnet-rdf.princeton.edu/wn30/02259212-n
lacewing,animal,http://wordnet-rdf.princeton.edu/wn30/02264363-n
dragonfly,animal,http://wordnet-rdf.princeton.edu/wn30/02268443-n
damselfly,animal,http://wordnet-rdf.princeton.edu/wn30/02268853-n
red admiral,animal,http://wordnet-rdf.princeton.edu/wn30/02276258-n
ringlet,animal,http://wordnet-rdf.princeton.edu/wn30/02277742-n
monarch butterfly,animal,http://wordnet-rdf.princeton.edu/wn30/02279972-n
small white,animal,http://wordnet-rdf.princeton.edu/wn30/02280649-n
sulphur butterfly,animal,http://wordnet-rdf.princeton.edu/wn30/02281406-n
gossamer-winged butterfly,animal,http://wordnet-rdf.princeton.edu/wn30/02281787-n
starfish,animal,http://wordnet-rdf.princeton.edu/wn30/02317335-n
sea urchin,animal,http://wordnet-rdf.princeton.edu/wn30/02319095-n
sea cucumber,animal,http://wordnet-rdf.princeton.edu/wn30/02321529-n
cottontail rabbit,animal,http://wordnet-rdf.princeton.edu/wn30/02325366-n
hare,animal,http://wordnet-rdf.princeton.edu/wn30/02326432-n
Angora rabbit,animal,http://wordnet-rdf.princeton.edu/wn30/02328150-n
hamster,animal,http://wordnet-rdf.princeton.edu/wn30/02342885-n
porcupine,animal,http://wordnet-rdf.princeton.edu/wn30/02346627-n
fox squirrel,animal,http://wordnet-rdf.princeton.edu/wn30/02356798-n
marmot,animal,http://wordnet-rdf.princeton.edu/wn30/02361337-n
beaver,animal,http://wordnet-rdf.princeton.edu/wn30/02363005-n
guinea pig,animal,http://wordnet-rdf.princeton.edu/wn30/02364673-n
common sorrel,animal,http://wordnet-rdf.princeton.edu/wn30/02389026-n
zebra,animal,http://wordnet-rdf.princeton.edu/wn30/02391049-n
pig,animal,http://wordnet-rdf.princeton.edu/wn30/02395406-n
wild boar,animal,http://wordnet-rdf.princeton.edu/wn30/02396427-n
warthog,animal,http://wordnet-rdf.princeton.edu/wn30/02397096-n
hippopotamus,animal,http://wordnet-rdf.princeton.edu/wn30/02398521-n
ox,animal,http://wordnet-rdf.princeton.edu/wn30/02403003-n
water buffalo,animal,http://wordnet-rdf.princeton.edu/wn30/02408429-n
bison,animal,http://wordnet-rdf.princeton.edu/wn30/02410509-n
ram,animal,http://wordnet-rdf.princeton.edu/wn30/02412080-n
bighorn sheep,animal,http://wordnet-rdf.princeton.edu/wn30/02415577-n
Alpine ibex,animal,http://wordnet-rdf.princeton.edu/wn30/02417914-n
hartebeest,animal,http://wordnet-rdf.princeton.edu/wn30/02422106-n
impala,animal,http://wordnet-rdf.princeton.edu/wn30/02422699-n
gazelle,animal,http://wordnet-rdf.princeton.edu/wn30/02423022-n
dromedary,animal,http://wordnet-rdf.princeton.edu/wn30/02437312-n
llama,animal,http://wordnet-rdf.princeton.edu/wn30/02437616-n
weasel,animal,http://wordnet-rdf.princeton.edu/wn30/02441942-n
mink,animal,http://wordnet-rdf.princeton.edu/wn30/02442845-n
European polecat,animal,http://wordnet-rdf.princeton.edu/wn30/02443114-n
black-footed ferret,animal,http://wordnet-rdf.princeton.edu/wn30/02443484-n
otter,animal,http://wordnet-rdf.princeton.edu/wn30/02444819-n
skunk,animal,http://wordnet-rdf.princeton.edu/wn30/02445715-n
badger,animal,http://wordnet-rdf.princeton.edu/wn30/02447366-n
armadillo,animal,http://wordnet-rdf.princeton.edu/wn30/02454379-n
three-toed sloth,animal,http://wordnet-rdf.princeton.edu/wn30/02457408-n
orangutan,animal,http://wordnet-rdf.princeton.edu/wn30/02480495-n
gorilla,animal,http://wordnet-rdf.princeton.edu/wn30/02480855-n
chimpanzee,animal,http://wordnet-rdf.princeton.edu/wn30/02481823-n
gibbon,animal,http://wordnet-rdf.princeton.edu/wn30/02483362-n
siamang,animal,http://wordnet-rdf.princeton.edu/wn30/02483708-n
guenon,animal,http://wordnet-rdf.princeton.edu/wn30/02484975-n
